erl_module,filepath,n_lines,description,complexity,depends_on
emqx_persistent_session_ds,emqx-src/apps/emqx/src/emqx_persistent_session_ds.erl,2041,"Module for emqx persistent session ds",H,"emqx_broker;emqx_cm;emqx_config;emqx_ds;emqx_durable_storage;emqx_durable_will;emqx_maybe;emqx_message;emqx_mqtt;emqx_persistent_message;emqx_persistent_session_ds_buffer;emqx_persistent_session_ds_gc_timer;emqx_persistent_session_ds_inflight;emqx_persistent_session_ds_shared_subs;emqx_persistent_session_ds_state;emqx_persistent_session_ds_stream_scheduler;emqx_persistent_session_ds_subs;emqx_session;emqx_session_events;emqx_types;emqx_utils;emqx_utils_calendar"
emqx_session,emqx-src/apps/emqx/src/emqx_session.erl,980,"Module for emqx session",H,"emqx_banned;emqx_config;emqx_hooks;emqx_maybe;emqx_message;emqx_metrics;emqx_mqtt;emqx_persistent_message;emqx_persistent_session_ds;emqx_reason_codes;emqx_session_events;emqx_session_mem;emqx_topic;emqx_types;emqx_utils"
emqx_topic,emqx-src/apps/emqx/src/emqx_topic.erl,420,"Module for emqx topic",M,"emqx_mqtt;emqx_trace;emqx_types"
emqx_banned,emqx-src/apps/emqx/src/emqx_banned.erl,536,"Module for emqx banned",H,"emqx_banned_rules;emqx_cm;emqx_db_backup;emqx_schema;emqx_types;emqx_utils;emqx_utils_calendar;emqx_utils_conv;emqx_utils_stream"
emqx_mqueue,emqx-src/apps/emqx/src/emqx_mqueue.erl,403,"Module for emqx mqueue",M,"emqx_mqtt;emqx_pqueue;emqx_types"
emqx_boot,emqx-src/apps/emqx/src/emqx_boot.erl,16,"Module for emqx boot",L,""
emqx_post_upgrade,emqx-src/apps/emqx/src/emqx_post_upgrade.erl,28,"Module for emqx post upgrade",L,"emqx_broker_helper;emqx_stats;emqx_sup"
emqx_connection,emqx-src/apps/emqx/src/emqx_connection.erl,1305,"Module for emqx connection",H,"emqx_channel;emqx_cm;emqx_config;emqx_congestion;emqx_connection_terminated;emqx_external_trace;emqx_frame;emqx_gc;emqx_instr;emqx_logger;emqx_metrics;emqx_mqtt;emqx_olp;emqx_packet;emqx_pd;emqx_quic_connection;emqx_quic_stream;emqx_schema;emqx_socket_connection;emqx_types;emqx_utils;emqx_ws_connection"
emqx_listeners,emqx-src/apps/emqx/src/emqx_listeners.erl,1114,"Module for emqx listeners",H,"emqx_app;emqx_config;emqx_config_handler;emqx_config_zones;emqx_connection;emqx_limiter;emqx_ocsp_cache;emqx_olp;emqx_quic_connection;emqx_quic_stream;emqx_ranch_limiter;emqx_schema;emqx_socket_connection;emqx_tls_lib;emqx_utils;emqx_utils_maps;emqx_ws_connection"
emqx_router,emqx-src/apps/emqx/src/emqx_router.erl,636,"Module for emqx router",H,"emqx_listener;emqx_maybe;emqx_router_helper;emqx_router_proto;emqx_router_proto_v;emqx_subscriber;emqx_topic;emqx_topic_index;emqx_trie_search;emqx_types;emqx_utils;emqx_utils_stream"
emqx_const_v1,emqx-src/apps/emqx/src/emqx_const_v1.erl,10,"Module for emqx const v1",L,"emqx_const_v;emqx_ocsp_cache"
emqx_durable_will,emqx-src/apps/emqx/src/emqx_durable_will.erl,130,"Module for emqx durable will",M,"emqx_broker;emqx_channel;emqx_ds;emqx_ds_msg_serializer;emqx_durable_storage;emqx_durable_timer;emqx_types"
emqx_batch,emqx-src/apps/emqx/src/emqx_batch.erl,85,"Module for emqx batch",L,"emqx_utils"
emqx_congestion,emqx-src/apps/emqx/src/emqx_congestion.erl,151,"Module for emqx congestion",M,"emqx_alarm;emqx_config;emqx_utils"
emqx_access_control,emqx-src/apps/emqx/src/emqx_access_control.erl,363,"Module for emqx access control",M,"emqx_authz_cache;emqx_authz_client_info;emqx_hooks;emqx_metrics;emqx_metrics_worker;emqx_types"
emqx_mountpoint,emqx-src/apps/emqx/src/emqx_mountpoint.erl,115,"Module for emqx mountpoint",M,"emqx_mqtt;emqx_placeholder;emqx_template;emqx_types"
emqx_app,emqx-src/apps/emqx/src/emqx_app.erl,110,"Module for emqx app",M,"emqx_alarm_handler;emqx_boot;emqx_config;emqx_limiter;emqx_listeners;emqx_release;emqx_schema;emqx_sup"
emqx_inflight,emqx-src/apps/emqx/src/emqx_inflight.erl,128,"Module for emqx inflight",M,""
emqx_os_mon,emqx-src/apps/emqx/src/emqx_os_mon.erl,241,"Module for emqx os mon",M,"emqx_alarm;emqx_utils"
emqx_authz_cache,emqx-src/apps/emqx/src/emqx_authz_cache.erl,295,"Module for emqx authz cache",M,"emqx_access_control;emqx_cm;emqx_topic;emqx_types"
emqx_node_dump,emqx-src/apps/emqx/src/emqx_node_dump.erl,90,"Module for emqx node dump",L,"emqx_app;emqx_config;emqx_utils;emqx_vm"
emqx_ds_schema,emqx-src/apps/emqx/src/emqx_ds_schema.erl,549,"Module for emqx ds schema",H,"emqx_config;emqx_ds;emqx_ds_builtin_raft;emqx_ds_optimistic_tx;emqx_ds_storage_skipstream_lts_v;emqx_durable_storage;emqx_schema"
emqx_alarm,emqx-src/apps/emqx/src/emqx_alarm.erl,660,"Module for emqx alarm",H,"emqx_alarm_safe_call_exception;emqx_alarm_safe_call_timeout;emqx_broker;emqx_hooks;emqx_message;emqx_topic;emqx_utils_calendar;emqx_utils_json;emqx_utils_maps"
emqx_reason_codes,emqx-src/apps/emqx/src/emqx_reason_codes.erl,183,"Module for emqx reason codes",M,"emqx_mqtt"
emqx_router_syncer,emqx-src/apps/emqx/src/emqx_router_syncer.erl,472,"Module for emqx router syncer",M,"emqx_broker;emqx_router;emqx_types;emqx_utils;emqx_utils_stream"
emqx_broker_helper,emqx-src/apps/emqx/src/emqx_broker_helper.erl,322,"Module for emqx broker helper",M,"emqx_broker;emqx_broker_helper_unexpected_call;emqx_broker_helper_unexpected_cast;emqx_broker_helper_unexpected_info;emqx_persistent_session_bookkeeper;emqx_pool;emqx_router;emqx_shared_sub;emqx_stats;emqx_subid;emqx_submon;emqx_subscriber;emqx_types;emqx_utils_ets"
emqx_channel,emqx-src/apps/emqx/src/emqx_channel.erl,3419,"Module for emqx channel",H,"emqx_access_control;emqx_auth_template;emqx_authz_cache;emqx_banned;emqx_broker;emqx_channel_takeover_end;emqx_cm;emqx_config;emqx_config_zones;emqx_external_trace;emqx_flapping;emqx_hooks;emqx_keepalive;emqx_limiter;emqx_limiter_client_container;emqx_listeners;emqx_logger;emqx_message;emqx_metrics;emqx_mountpoint;emqx_mqtt;emqx_mqtt_caps;emqx_mqtt_props;emqx_olp;emqx_otel_trace;emqx_packet;emqx_passwd;emqx_pd;emqx_persistent_session_ds;emqx_quic_connection;emqx_reason_codes;emqx_session;emqx_session_mem;emqx_shared_sub;emqx_sn;emqx_topic;emqx_types;emqx_utils;emqx_variform"
emqx_pmon,emqx-src/apps/emqx/src/emqx_pmon.erl,97,"Module for emqx pmon",L,""
emqx_types,emqx-src/apps/emqx/src/emqx_types.erl,275,"Module for emqx types",M,"emqx_external_broker;emqx_mqtt;emqx_mqtt_caps;emqx_utils_types"
emqx_broker_bench,emqx-src/apps/emqx/src/emqx_broker_bench.erl,183,"Module for emqx broker bench",M,"emqx_broker;emqx_router;emqx_topic;emqx_trie;emqx_trie_node"
emqx_schema,emqx-src/apps/emqx/src/emqx_schema.erl,4348,"Module for emqx schema",H,"emqx_access_control;emqx_conf_schema;emqx_ds_schema;emqx_durable_session;emqx_hocon;emqx_http_lib;emqx_limiter_schema;emqx_listeners;emqx_os_mon;emqx_schema_hooks;emqx_schema_secret;emqx_tls_lib;emqx_utils;emqx_utils_conv;emqx_utils_json;emqx_utils_maps;emqx_utils_schema;emqx_variform;emqx_zone_schema"
emqx_corrupt_namespace_config_checker,emqx-src/apps/emqx/src/emqx_corrupt_namespace_config_checker.erl,141,"Module for emqx corrupt namespace config checker",M,"emqx_alarm;emqx_config;emqx_hocon;emqx_utils_json"
emqx_vm,emqx-src/apps/emqx/src/emqx_vm.erl,402,"Module for emqx vm",M,"emqx_app;emqx_cpu_sup_worker;emqx_os_mon;emqx_otp_version"
emqx_release,emqx-src/apps/emqx/src/emqx_release.erl,147,"Module for emqx release",M,"emqx_vsn"
emqx_ws_connection,emqx-src/apps/emqx/src/emqx_ws_connection.erl,910,"Module for emqx ws connection",H,"emqx_channel;emqx_cm;emqx_config;emqx_external_trace;emqx_frame;emqx_gc;emqx_logger;emqx_maybe;emqx_metrics;emqx_mqtt;emqx_packet;emqx_pd;emqx_pmon;emqx_types;emqx_utils"
emqx_passwd,emqx-src/apps/emqx/src/emqx_passwd.erl,161,"Module for emqx passwd",M,""
emqx_cm_registry_keeper,emqx-src/apps/emqx/src/emqx_cm_registry_keeper.erl,210,"Module for emqx cm registry keeper",M,"emqx_cm"
emqx_zone_schema,emqx-src/apps/emqx/src/emqx_zone_schema.erl,70,"Module for emqx zone schema",L,"emqx_schema"
emqx_cm_sup,emqx-src/apps/emqx/src/emqx_cm_sup.erl,74,"Module for emqx cm sup",L,"emqx_banned;emqx_cm;emqx_cm_locker;emqx_cm_pool_sup;emqx_cm_registry;emqx_cm_registry_keeper;emqx_flapping;emqx_persistent_session_ds_sup;emqx_pool;emqx_pool_sup"
emqx_sys_sup,emqx-src/apps/emqx/src/emqx_sys_sup.erl,54,"Module for emqx sys sup",L,"emqx_alarm;emqx_alarm_handler;emqx_broker_mon;emqx_corrupt_namespace_config_checker;emqx_cpu_sup_worker;emqx_os_mon;emqx_sys;emqx_sys_mon;emqx_vm_mon"
emqx_broker_mon,emqx-src/apps/emqx/src/emqx_broker_mon.erl,203,"Module for emqx broker mon",M,"emqx_alarm;emqx_broker_sup;emqx_config;emqx_utils"
emqx_sup,emqx-src/apps/emqx/src/emqx_sup.erl,96,"Module for emqx sup",L,"emqx_access_control_metrics_sup;emqx_boot;emqx_broker_sup;emqx_cm_sup;emqx_kernel_sup;emqx_limiter_sup;emqx_router_sup;emqx_sys_sup"
emqx_hooks,emqx-src/apps/emqx/src/emqx_hooks.erl,305,"Module for emqx hooks",M,"emqx_hookpoints;emqx_utils_redact"
emqx_guid,emqx-src/apps/emqx/src/emqx_guid.erl,137,"Module for emqx guid",M,"emqx_utils"
emqx_tls_lib_const_v1,emqx-src/apps/emqx/src/emqx_tls_lib_const_v1.erl,121,"Module for emqx tls lib const v1",M,"emqx_tls_lib_const_v"
emqx_pd,emqx-src/apps/emqx/src/emqx_pd.erl,48,"Module for emqx pd",L,""
emqx_packet,emqx-src/apps/emqx/src/emqx_packet.erl,718,"Module for emqx packet",H,"emqx_message;emqx_mqtt;emqx_topic;emqx_trace;emqx_types;emqx_utils_fmt"
emqx_crl_cache,emqx-src/apps/emqx/src/emqx_crl_cache.erl,351,"Module for emqx crl cache",M,"emqx_config_handler;emqx_ssl_crl_cache;emqx_utils;emqx_utils_maps"
emqx_pool_sup,emqx-src/apps/emqx/src/emqx_pool_sup.erl,90,"Module for emqx pool sup",L,"emqx_pool;emqx_vm"
emqx_sequence,emqx-src/apps/emqx/src/emqx_sequence.erl,65,"Module for emqx sequence",L,"emqx_utils_ets"
emqx_metrics,emqx-src/apps/emqx/src/emqx_metrics.erl,672,"Module for emqx metrics",H,"emqx_mqtt;emqx_types;emqx_utils_ets"
emqx_base62,emqx-src/apps/emqx/src/emqx_base62.erl,93,"Module for emqx base62",L,"emqx_base"
emqx_mqtt_caps,emqx-src/apps/emqx/src/emqx_mqtt_caps.erl,176,"Module for emqx mqtt caps",M,"emqx_config;emqx_exclusive_subscription;emqx_maybe;emqx_mqtt;emqx_schema;emqx_topic;emqx_types"
emqx_quic_connection,emqx-src/apps/emqx/src/emqx_quic_connection.erl,338,"Module for emqx quic connection",M,"emqx_channel;emqx_config;emqx_connection;emqx_frame;emqx_metrics;emqx_olp;emqx_quic;emqx_quic_data_stream;emqx_quic_stream;emqx_types"
emqx_session_events,emqx-src/apps/emqx/src/emqx_session_events.erl,80,"Module for emqx session events",L,"emqx_hooks;emqx_metrics;emqx_pd;emqx_session;emqx_types"
emqx_flapping,emqx-src/apps/emqx/src/emqx_flapping.erl,219,"Module for emqx flapping",M,"emqx_banned;emqx_config;emqx_types;emqx_utils;emqx_utils_ets"
emqx_router_sup,emqx-src/apps/emqx/src/emqx_router_sup.erl,50,"Module for emqx router sup",L,"emqx_pool_sup;emqx_router;emqx_router_helper"
emqx_log_throttler,emqx-src/apps/emqx/src/emqx_log_throttler.erl,202,"Module for emqx log throttler",M,"emqx_logger;emqx_utils_calendar"
emqx_socket_connection,emqx-src/apps/emqx/src/emqx_socket_connection.erl,1298,"Module for emqx socket connection",H,"emqx_channel;emqx_cm;emqx_config;emqx_congestion;emqx_connection;emqx_connection_terminated;emqx_external_trace;emqx_frame;emqx_gc;emqx_instr;emqx_logger;emqx_metrics;emqx_mqtt;emqx_olp;emqx_packet;emqx_pd;emqx_schema;emqx_types;emqx_utils"
emqx_exclusive_subscription,emqx-src/apps/emqx/src/emqx_exclusive_subscription.erl,230,"Module for emqx exclusive subscription",M,"emqx_exclusive_shard;emqx_exclusive_subscription_v;emqx_types"
emqx_persistent_message,emqx-src/apps/emqx/src/emqx_persistent_message.erl,234,"Module for emqx persistent message",M,"emqx_config;emqx_config_handler;emqx_ds;emqx_ds_payload_transform;emqx_ds_schema;emqx_ds_shared_sub_dl;emqx_durable_storage;emqx_durable_will;emqx_machine;emqx_message;emqx_metrics;emqx_persistent_message_ready;emqx_persistent_session_ds;emqx_persistent_session_ds_gc_timer;emqx_persistent_session_ds_router;emqx_persistent_session_ds_sup;emqx_types"
emqx_cm_locker,emqx-src/apps/emqx/src/emqx_cm_locker.erl,50,"Module for emqx cm locker",L,"emqx_types"
